iter	Passed	Remaining
0	1	163
1	2	133
2	3	122
3	4	106
4	5	100
5	6	95
6	7	93
7	7	89
8	8	87
9	9	86
10	10	84
11	11	82
12	12	80
13	12	79
14	13	77
15	14	76
16	15	74
17	16	73
18	16	72
19	17	71
20	18	71
21	19	70
22	20	69
23	21	69
24	22	68
25	23	67
26	24	66
27	25	66
28	26	65
29	28	65
30	29	64
31	30	63
32	31	63
33	31	62
34	32	61
35	33	60
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	41	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	47	42
53	48	41
54	49	40
55	50	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	32
63	56	32
64	57	31
65	58	30
66	59	29
67	60	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	22
74	66	22
75	67	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	14
83	74	14
84	74	13
85	75	12
86	76	11
87	77	10
88	78	9
89	79	8
90	80	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	85	1
98	86	0
99	87	0
